metric,value
mean_entropy,0.0600112896040082
mean_off_diag_sim,0.21965495496988297
mean_grad_sim,0.42822088301181793
expert_0_change_prob,0.2113845390511921
expert_0_token_count,9677
expert_1_change_prob,0.24529578385355746
expert_1_token_count,9727
expert_2_change_prob,0.4380261497135303
expert_2_token_count,9278
expert_3_change_prob,0.42804515318516534
expert_3_token_count,10257
sim_0_0,1.0
param_dist_0_0,0.0
grad_sim_0_0,1.0
sim_0_1,0.061357
param_dist_0_1,19.2321
grad_sim_0_1,0.445002
sim_0_2,0.471117
param_dist_0_2,19.1687
grad_sim_0_2,0.395741
sim_0_3,0.075062
param_dist_0_3,19.2772
grad_sim_0_3,0.413646
sim_1_0,0.061357
param_dist_1_0,19.2321
grad_sim_1_0,0.445002
sim_1_1,1.0
param_dist_1_1,0.0
grad_sim_1_1,1.0
sim_1_2,0.068933
param_dist_1_2,19.2575
grad_sim_1_2,0.417634
sim_1_3,0.551856
param_dist_1_3,19.1275
grad_sim_1_3,0.445575
sim_2_0,0.471117
param_dist_2_0,19.1687
grad_sim_2_0,0.395741
sim_2_1,0.068933
param_dist_2_1,19.2575
grad_sim_2_1,0.417634
sim_2_2,1.0
param_dist_2_2,0.0
grad_sim_2_2,1.0
sim_2_3,0.089605
param_dist_2_3,19.3124
grad_sim_2_3,0.451728
sim_3_0,0.075062
param_dist_3_0,19.2772
grad_sim_3_0,0.413646
sim_3_1,0.551856
param_dist_3_1,19.1275
grad_sim_3_1,0.445575
sim_3_2,0.089605
param_dist_3_2,19.3124
grad_sim_3_2,0.451728
sim_3_3,1.0
param_dist_3_3,0.0
grad_sim_3_3,1.0
